Date,County,Duration,AcresBurned
2017-07,San Luis Obispo,188.0,28687.0
2017-07,Lassen,188.0,0.0
2017-07,Kern,187.0,2940.0
2017-06,Siskiyou,199.0,0.0
2017-07,Madera,187.0,90.0
2017-07,Riverside,187.0,33.0
2017-07,Butte,187.0,6033.0
2017-07,San Bernardino,187.0,74.0
2017-07,San Luis Obispo,187.0,58.0
2017-07,Mariposa,187.0,36.0
2017-07,Contra Costa,186.0,231.0
2017-07,Shasta,179.0,10.0
2017-07,Santa Barbara,186.0,18430.0
2017-07,Modoc,181.0,410.0
2017-07,Siskiyou,168.0,27276.0
2017-07,San Luis Obispo,185.0,340.0
2017-07,Contra Costa,186.0,370.0
2017-07,Yuba,186.0,50.0
2017-07,El Dorado,182.0,13.0
2017-07,San Luis Obispo,186.0,1816.0
2017-07,Monterey,186.0,1816.0
2017-07,Tehama,186.0,29.0
2017-07,Kings,185.0,48889.0
2017-07,Butte,184.0,166.0
2017-07,Sierra,184.0,747.0
2017-07,Santa Clara,184.0,70.0
2017-07,Butte,182.0,10.0
2017-07,Santa Barbara,177.0,50.0
2017-07,San Bernardino,273.0,460.0
2017-07,San Diego,183.0,400.0
2017-07,Lassen,183.0,83733.0
2017-07,Santa Clara,183.0,101.0
2017-07,Calaveras,182.0,59.0
2017-07,Riverside,181.0,32.0
2017-07,San Bernardino,182.0,46.0
2017-07,Marin,182.0,35.0
2017-07,Riverside,181.0,10.0
2017-07,Monterey,178.0,40.0
2017-07,Mendocino,178.0,900.0
2017-07,Mariposa,178.0,81826.0
2017-07,Mendocino,177.0,20.0
2017-07,Fresno,177.0,1649.0
2017-07,Colusa,177.0,70.0
2017-07,Calaveras,177.0,117.0
2017-07,Modoc,177.0,15.0
2017-07,Lake,177.0,40.0
2017-07,Tulare,177.0,59.0
2017-08,Kings,139.0,2312.0
2017-08,Humboldt,162.0,19.0
2017-07,Kern,176.0,1083.0
2017-07,Shasta,176.0,180.0
2017-07,Riverside,176.0,72.0
2017-07,Tulare,176.0,58.0
2017-07,Glenn,175.0,0.0
2017-07,Tulare,164.0,2289.0
2017-07,Siskiyou,169.0,0.0
2017-07,Tuolumne,164.0,124.0
2017-07,Los Angeles,166.0,135.0
2017-07,Riverside,166.0,63.0
2017-07,Stanislaus,176.0,19.0
2017-07,Butte,268.0,103.0
2017-07,Plumas,165.0,4310.0
2017-07,Tuolumne,165.0,690.0
2017-07,San Luis Obispo,174.0,47.0
2017-07,Nevada,173.0,10.0
2017-07,El Dorado,168.0,140.0
2017-07,Tulare,174.0,416.0
2017-07,Sacramento,168.0,1286.0
2017-07,Santa Clara,168.0,51.0
2017-07,Del Norte,175.0,319.0
2017-07,San Bernardino,172.0,85.0
2017-07,San Diego,265.0,255.0
2017-07,San Bernardino,172.0,20.0
2017-07,El Dorado,169.0,13.0
2017-07,San Luis Obispo,170.0,150.0
2017-07,Yuba,170.0,39.0
2017-07,Santa Clara,171.0,78.0
2017-07,San Bernardino,171.0,170.0
2017-07,Tehama,166.0,57.0
2017-07,Nevada,167.0,15.0
2017-08,Tuolumne,162.0,20.0
2017-07,Shasta,165.0,17.0
2017-07,Siskiyou,165.0,155.0
2017-07,El Dorado,164.0,236.0
2017-07,Kern,164.0,1350.0
2017-07,Sonoma,163.0,11.0
2017-07,San Bernardino,163.0,100.0
2017-07,Riverside,163.0,200.0
2017-08,Trinity,161.0,32.0
2017-08,San Luis Obispo,161.0,70.0
2017-08,San Luis Obispo,161.0,460.0
2017-07,Modoc,171.0,0.0
2017-08,Humboldt,160.0,85.0
2017-08,San Bernardino,160.0,325.0
2017-08,Los Angeles,160.0,10.0
2017-08,Humboldt,160.0,30.0
2017-08,Lake,155.0,62.0
2017-08,Riverside,159.0,122.0
2017-08,Kern,158.0,50.0
2017-08,Plumas,157.0,1020.0
2017-08,Lassen,157.0,530.0
2017-08,Lassen,157.0,859.0
2017-08,Riverside,156.0,92.0
2017-08,Monterey,156.0,82.0
2017-08,Trinity,156.0,4736.0
2017-08,Kern,153.0,338.0
2017-08,Santa Clara,152.0,100.0
2017-08,Tehama,153.0,15.0
2017-08,Napa,152.0,114.0
2017-08,Riverside,150.0,19.0
2017-08,San Luis Obispo,152.0,775.0
2017-08,Siskiyou,150.0,41.0
2017-08,Riverside,150.0,1044.0
2017-08,Mariposa,150.0,125.0
2017-08,Mariposa,162.0,8094.0
2017-08,Mariposa,149.0,7000.0
2017-08,Riverside,149.0,545.0
2017-08,Shasta,146.0,17.0
